month,year,plot,survey_date,fungicide,plant,leaf,damage,anthracnose,crown_rust,brown_patch,smut,gls,rrust,sclerotinia,tml,mining,mech,chlo,scrape
May,2017,plotID_2,5/24/2017,7-months,6,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_2,5/24/2017,7-months,6,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_2,5/24/2017,7-months,7,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_2,5/24/2017,7-months,8,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_2,5/24/2017,7-months,8,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_2,5/24/2017,7-months,9,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_2,5/24/2017,7-months,9,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_2,5/24/2017,7-months,9,3,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_2,5/24/2017,7-months,10,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_2,5/24/2017,7-months,10,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_2,5/24/2017,7-months,10,3,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_2,5/24/2017,7-months,11,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_2,5/24/2017,7-months,11,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_2,5/24/2017,7-months,12,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_2,5/24/2017,7-months,12,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_2,5/24/2017,7-months,12,3,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_2,5/24/2017,7-months,13,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_2,5/24/2017,7-months,13,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_2,5/24/2017,7-months,14,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_2,5/24/2017,7-months,14,2,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_2,5/24/2017,7-months,15,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_2,5/24/2017,7-months,15,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_2,5/24/2017,7-months,16,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_2,5/24/2017,7-months,16,2,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_2,5/24/2017,7-months,17,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_2,5/24/2017,7-months,17,2,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_2,5/24/2017,7-months,18,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_2,5/24/2017,7-months,18,2,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_2,5/24/2017,7-months,19,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_2,5/24/2017,7-months,19,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_2,5/24/2017,7-months,19,3,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_2,5/24/2017,7-months,20,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_2,5/24/2017,7-months,20,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,1,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,1,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,2,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,2,2,ND,0,0,0,0,0,0,0,0,0,0,0,0
